,0
44,Shear strength and failure behaviour of laser nano-structured and conventionally pre-treated interfaces in intrinsically manufactured CFRP-steel hybrids
45,"Characterization and optimization of hardened properties of self-consolidating concrete incorporating recycled steel, industrial steel, polypropylene and hybrid fibers"
46,Experimental analysis of the linear and nonlinear vibration behavior of flax fibre reinforced composites with an interleaved natural viscoelastic layer
47,Yttria-stabilized zirconia-aluminum matrix composites via ultrasonic additive manufacturing
48,An atomistic study on the mechanical behavior of bamboo cell wall constituents
49,Structural and thermal characterization of multiwall carbon nanotubes (MWCNTs) / aluminum (Al) nanocomposites
50,Characterisation of fatigue damage in composites using an Acoustic Emission Parameter Correction Technique
51,Modal properties identification of a novel sandwich footbridge – Comparison of measured dynamic response and FEA
52,Performance-driven 3D printing of continuous curved carbon fibre reinforced polymer composites: A preliminary numerical study
53,Effect of arctic environment on flexural behavior of fly ash cenosphere reinforced epoxy syntactic foams
54,Probabilistic micromechanical spatial variability quantification in laminated composites
55,Highly stretchable and transparent electrode film based on SWCNT/Silver nanowire hybrid nanocomposite
56,A review on the assessment and prediction of the orientation and distribution of fibres for concrete
57,Editorial Board
58,Fabrication and characterization of auxetic shape memory composite foams
59,A carbon-fabric/polycarbonate sandwiched film with high tensile and EMI shielding comprehensive properties: An experimental study
60,A new micromechanics approach to the application of Eshelby's equivalent inclusion method in three phase composites with shape memory polymer matrix
61,Predicting mechanical properties of nanoclay/polymer composites using stochastic approach
62,Fiber-to-mortar bond behavior in TRM composites: Effect of embedded length and fiber configuration
63,A constitutive model for gfrp-wire-confined concrete with consideration of low and high confinement ratios
64,Structural response of porous FG nanobeams under hygro-thermo-mechanical loadings
65,Dynamic compressive response of a developed polymer composite at different strain rates
66,Direct numerical simulation of 3D woven textile composites subjected to tensile loading: An experimentally validated multiscale approach
67,A [email protected] [Zn(BDC)(DMF)] material for the adsorption of chromium(VI) ions from aqueous solution
68,Study of the flexural modulus of lignocellulosic fibers reinforced bio-based polyamide11 green composites
69,Enhanced electromechanical performance of P(VDF-TrFE-CTFE) thin films hybridized with highly dispersed carbon blacks
70,Estimation of effective elastic properties of polymer/clay nanocomposites: A parametric study
71,Novel 3D porous biocomposite scaffolds fabricated by fused deposition modeling and gas foaming combined technology
72,The influence of nanostructure on the mechanical properties of 3D printed polylactide/nanoclay composites
73,Nano-silica inclusion effects on mechanical and dynamic behavior of fiber reinforced carbon/Kevlar with epoxy resin hybrid composites
74,Barely visible impact damage assessment in laminated composites using acoustic emission
75,Experimental and numerical studies of CFRP tube and steel spiral dual-confined concrete composite columns under axial impact loading
76,Study of plant fibre composites with damage induced by laser and mechanical impacts
77,Microwave-assisted synthesis of Bi2WO6 flowers decorated graphene nanoribbon composite for electrocatalytic sensing of hazardous dihydroxybenzene isomers
78,Mechanical properties of offshoring polymer composite pipes at various temperatures
79,Interface model of homogenization for analysing the influence of inclusion size on the elastic properties of composites
80,Improving the damping properties of carbon fibre reinforced composites by interleaving flax and viscoelastic layers
81,Aminated aligned carbon nanotube bundles/polybenzimidazole hybrid film interleaved thermosetting composites with interface strengthening action
82,PLA-based plasticized nanocomposites: Effect of polymer/plasticizer/filler interactions on the time evolution of properties
83,Electrospun polymer electrolyte nanocomposites for solid-state energy storage
84,Mathematical programming approach for uncertain linear elastic analysis of functionally graded porous structures with interval parameters
85,The influence of date palm mesh fibre reinforcement on flexural and fracture behaviour of a cement-based mortar
86,Dynamic tensile behavior of polypropylene with temperature effect
87,Flexible nanofibers-reinforced silk fibroin films plasticized by glycerol
88,Graphene nanoplatelets/epoxy composites with excellent shear properties for construction adhesives
89,Ultra-small Co/CNTs nanohybrid from metal organic framework with highly efficient microwave absorption
90,Effects of geometric configurations of corrugated cores on the local impact and planar compression of sandwich panels
91,Interfacial engineering of layered double hydroxide toward epoxy resin with improved fire safety and mechanical property
92,A review on properties of fresh and hardened geopolymer mortar
93,Editorial Board
94,Enhanced through-plane thermal conductivity of PTFE composites with hybrid fillers of hexagonal boron nitride platelets and aluminum nitride particles
95,Effect of hydrophilic graphite flake on thermal conductivity and fracture toughness of basalt fibers/epoxy composites
96,Impact behaviour of hybrid basalt/flax twill laminates
97,Band gap behaviour of optimal one-dimensional composite structures with an additive manufactured stiffener
98,"Optimization of Al2O3 particle modification and UHMWPE fiber oxidation of EVA based hybrid composites: Compatibility, morphological and mechanical properties"
99,Failure of cross-ply NCF composites under off-axis compressive loads - An experimental study and a new strength prediction model including fibre bundle waviness
100,Effects of particle clustering on the plastic deformation and damage initiation of particulate reinforced composite utilizing X-ray CT data and finite element modeling
101,Bio-polyethylene reinforced with thermomechanical pulp fibers: Mechanical and micromechanical characterization and its application in 3D-printing by fused deposition modelling
102,Structure design and multi-objective optimization of a novel NPR bumper system
103,Influence of environment conditioning on the interlaminar fracture toughness of a graphite/epoxy unidirectional material
104,New composite material based on winter rapeseed and his elasticity properties as a function of selected factors
105,Composite materials from fully bio-based thermosetting resins and recycled waste poly(ethylene terephthalate)
106,Energy harvesting potential of bendable concrete using polymer based piezoelectric generator
107,Thermal stress intensity factor for an edge crack in orthotropic composite media
108,How pure mode I can be obtained in bi-material bonded DCB joints: A longitudinal strain-based criterion
109,Influence of ply orientation on free-edge effects in laminates subjected to in-plane loads
110,Analysis of the in-plane shear behaviour of non-orthogonally textile reinforcements: Application to braided fabrics
111,Flow and heat transfer during compression resin transfer moulding of highly reactive epoxies
112,The shock and spallation behavior of a carbon fiber reinforced polymer composite
113,Thermomechanical buckling characteristic of ultrathin films based on nonlocal elasticity theory
114,Durability of steel reinforced polyurethane-to-substrate bond
115,Experimental investigation on the debonding failure mode of basalt-based FRP sheets from concrete
116,Investigation of the effect of stacking sequence on low velocity impact response and damage formation in hybrid composite pipes under internal pressure. A comparative study
117,Shape memory behavior and recovery force of 4D printed laminated Miura-origami structures subjected to compressive loading
118,Hybrid confinement of concrete through use of low and high rupture strain FRP
119,Impact of fillers (short glass fibers and rubber) on the hydrolysis-induced embrittlement of polyamide 6.6
120,Flexural capacity and crack-closing performance of NiTi and NiTiNb shape-memory alloy fibers randomly distributed in mortar beams
121,Highly filled biochar/ultra-high molecular weight polyethylene/linear low density polyethylene composites for high-performance electromagnetic interference shielding
122,"Stress gradient, strain gradient and inertia gradient beam theories for the simulation of flexural wave dispersion in carbon nanotubes"
123,Energy absorption of foam-filled multi-cell composite panels under quasi-static compression
124,Effects of hydrothermal aging on moisture absorption and property prediction of short carbon fiber reinforced polyamide 6 composites
125,Microstructural-mechanical properties relationship in single polymer laminate composites based on polyamide 6
126,Analysis of functionally graded sandwich plates using a higher-order layerwise theory
127,Overall properties of piezoelectric composites with spring-type imperfect interfaces using the mechanics of structure genome
128,Vibration analysis for sector cylindrical shells with bi-directional functionally graded materials and elastically restrained edges
129,Effects of 1D and 2D nanofillers in basalt/poly(lactic acid) composites for additive manufacturing
130,Thermal vibration of FGM beams with general boundary conditions using a higher-order shear deformation theory
131,Synthesis and characterization of silver-incorporated calcium phosphate antibacterial nanocomposites for mask filtration material
132,Characterization and analysis of fluoride calcium silicate composite interface in remineralization of dental enamel
133,"Effects of water, alkali solution and temperature ageing on water absorption, morphology and mechanical properties of natural FRP composites: Plant-based jute vs. mineral-based basalt"
134,Multifunctional magnetically responsive biocomposites based on genetically engineered silk-elastin-like protein
135,Evaluation of interfacial and mechanical properties of glass fiber and p-DCPD composites with surface treatment of glass fiber
136,Diverse interfacial crystalline morphologies induced by poly (d-lactide) (PDLA) melt penetration process in multi-melt multi-injection molding (M3IM) system
137,Flexural behaviour of corrugated panels of self-reinforced polypropylene hybridised with carbon fibre: An experimental and modelling study
138,Coupled thermoelasticity analysis of carbon nano tube reinforced composite rectangular plate subjected to thermal shock
139,Natural fibre-reinforced thermoplastic composites from woven-nonwoven textile preforms: Mechanical and fire performance study
140,On buckling of porous double-layered FG nanoplates in the Pasternak elastic foundation based on nonlocal strain gradient elasticity
141,Soft and hard interface models for bonded elements
142,Editorial Board
143,Fabrication and characterization of synergistic Al-SiC-GNPs hybrid composites
144,Effect of transverse strains and angular distortions on the nanoscale elastic behavior of platelet nanocomposites
145,Free vibrations of FG elastic Timoshenko nano-beams by strain gradient and stress-driven nonlocal models
146,Finite element modelling of flexural behaviour of geosynthetic cementitious composite mat (GCCM)
147,"Effect of continuous high temperature exposure on the adhesive strength of epoxy adhesive, CFRP and adhesively bonded CFRP-aluminum alloy joints"
148,Polydopamine induced natural fiber surface functionalization: a way towards flame retardancy of flax/poly(lactic acid) biocomposites
149,In-situ heat dissipation monitoring in adhesively bonded composite joints under dynamic compression loading using SHPB
150,"Analysis of multilayered structures embedding viscoelastic layers by higher-order, and zig-zag plate elements"
151,Higher performance carbon fiber reinforced thermoplastic composites from thermoplastic prepreg technique: Heat and moisture effect
152,Mimicking nature: Fabrication of 3D anisotropic electrospun polycaprolactone scaffolds for cartilage tissue engineering applications
153,Experimental assessment of the mechanical behaviour of 3D woven composite T-joints
154,CNT-polymer nanocomposites under frictional contact conditions
155,"Structural laminated hybrid composites based on raffia and glass fibers: Effect of alkali treatment, mechanical and thermal properties"
156,Multi-scale digital image correlation for detection and quantification of matrix cracks in carbon fiber composite laminates in the absence and presence of voids controlled by the cure cycle
157,Experimental mechanical characterization of composite-concrete joints
158,The effect of tension compression asymmetry on modelling the bending response of sheet moulding compound composites
159,Toward improved performances of para-aramid (PPTA) paper-based nanomaterials via aramid nanofibers(ANFs) and ANFs-film
160,"Silver/poly(vinyl alcohol)/chitosan/graphene hydrogels – Synthesis, biological and physicochemical properties and silver release kinetics"
161,Mixed Mode delamination in carbon nanotube/nanofiber interlayered composites
162,The evolution of anti-vortex like domain under electric field in polycrystalline ferroelectric
163,In-situ homogeneous growth of ZrC nanowires on carbon cloth and their effects on flexural properties of carbon/carbon composites
164,High strain rate effects on mechanical properties of inductively coupled plasma treated carbon nanotube reinforced epoxy composites
165,Geometrically nonlinear analysis of laminated composite quadrilateral plates reinforced with graphene nanoplatelets using the element-free IMLS-Ritz method
166,Decoupled stability equation for buckling analysis of FG and multilayered cylindrical shells based on the first-order shear deformation theory
167,Effect of delamination on the stochastic natural frequencies of composite laminates
168,Direct activation of copper electroplating on conductive composite of polythiophene surface-coated with nickel nanoparticles
169,Cure behaviors of furfuryl alcohol/epoxy/methyltetrahydrophthalic anhydride and their enhanced mechanical and anti-acid properties of basalt fiber reinforced composites
170,Bending and free vibration of multilayered functionally graded doubly curved shells by an improved layerwise theory
171,Effect of phenolic resin thickness on frequency-dependent dynamic mechanical properties of Nomex honeycomb cores
172,Buckling and free vibration analysis of functionally graded sandwich micro-beams resting on elastic foundation by using nonlocal strain gradient theory in conjunction with higher order shear theories under thermal effect
173,"Thermal stability and ablation resistance, and ablation mechanism of carbon–phenolic composites with different zirconium silicide particle loadings"
174,Flexural performance of hybrid GFRP-Steel reinforced concrete continuous beams
175,Phase transition and anomalous rheological properties of graphene oxide-carbon nanotube acrylonitrile butadiene styrene hybrid composites
176,Flexural-torsional vibration and buckling of thin-walled bi-directional functionally graded beams
177,Mixed mode І/ІІ fracture prediction of blunt V-notched nanocomposite specimens with nonlinear behavior by means of the Equivalent Material Concept
178,The radially inhomogeneous isotropic elastic equal thickness spherical shell
179,Effect of shot peening on surface residual stress distribution of SiCp/2024Al
180,The effect of amine functionalization of CuO and ZnO nanoparticles used as additives on the morphology and the permeation properties of polyethersulfone ultrafiltration nanocomposite membranes
181,Thermoelastoplastic analysis of FGM rotating thick cylindrical pressure vessels in linear elastic-fully plastic condition
182,Green cement composite concept reinforced by graphite nano-engineered particle suspension for infrastructure renewal material
183,Manufacturing and properties of r-PETG/PET fibre composite – Novel approach for recycling of PETG plastic scrap into engineering compound for injection moulding
184,Towards “green” viscoelastically prestressed composites: Cellulose fibre reinforcement
185,Mechanical behaviors and failure mechanisms of buried polyethylene pipes crossing active strike-slip faults
186,Artificial lightning strike tests on PRSEUS panels
187,Elastoplastic nonlinear FEM analysis of FGM shells of Cosserat type
188,Magnetic field effect on thermomechanical buckling and vibration of viscoelastic sandwich nanobeams with CNT reinforced face sheets on a viscoelastic substrate
189,Editorial Board
190,Factors affecting barrier performance of composite anti-corrosion coatings prepared by using electrochemically exfoliated few-layer graphene as filler
191,"A power model to predict the electrical conductivity of CNT reinforced nanocomposites by considering interphase, networks and tunneling condition"
192,Comparison on damage tolerance of scarf and stepped-lap bonded composite joints under quasi-static loading
193,Evolution of curing residual stresses in composite using multi-scale method
194,Laser ablation behavior of nano-copper particle-filled phenolic matrix nanocomposite coatings
195,The effect of delamination size and location to buckling behavior of composite materials
196,Preparation and characterization of bioinspired three-dimensional architecture of zirconia on ceramic surface
197,Microwave absorption and mechanical properties of cross-scale SiC composites
198,Experimental determination of the static and fatigue strength of the adhesive joints bonded by epoxy adhesive including different particles
199,Meshless modeling of bending behavior of bi-directional functionally graded beam structures
200,Porous bioceramics produced by inkjet 3D printing: Effect of printing ink formulation on the ceramic macro and micro porous architectures control
201,Development and characterisation of dynamic bi-phase (epoxy/PU) composites for enhanced impact resistance
202,Phytic acid assisted fabrication of graphene/polyaniline composite hydrogels for high-capacitance supercapacitors
203,The effects of delamination deficiencies on compressive mechanical properties of reinforced composite skin structures
204,A new method for an efficient porous carbon/Fe3O4 composite based electromagnetic wave absorber derived from a specially designed polyimide
205,Flat prestressed unbonded retrofit system for strengthening of existing metallic I-Girders
206,High corrosion resistance performance of 304 stainless steel after liquid nitrocarburization
207,New evaluation of interfacial properties and damage sensing in CFRC by VARTM using 3D ER mapping
208,Steel fiber confined graphite concrete for pavement deicing
209,Thermal conductivity of copper-diamond composite materials produced by electrodeposition and the effect of TiC coatings on diamond particles
210,Reinforcement of interfacial and bonding strength of soybean meal-based adhesive via kenaf fiber–CaCO3 anchored N-cyclohexyl-2-benzothiazole sulfenamide
211,Numerical study on the flexural capacity of ultra-light composite timber sandwich panels
212,Computational implementation and experimental validation of a micro-mechanics informed progressive damage Strain Invariant Failure Theory
213,Advanced carbon fibre composites via poly methacrylic acid surface treatment; surface analysis and mechanical properties investigation
214,Vibration of FG magneto-electro-viscoelastic porous nanobeams on visco-Pasternak foundation
215,Experimental study of CFRP-confined reinforced concrete masonry columns tested under concentric and eccentric loading
216,Sulfonated poly ether sulfone/heteropoly acid composite membranes as electrolytes for the improved power generation of proton exchange membrane fuel cells
217,Non-isothermal oxidation kinetics of FeSiAl alloy powder for microwave absorption at high temperature
218,Investigation of properties of nano-silica modified epoxy resin films and composites using RFI technology
219,Three-dimensional stress analysis for laminated composite and sandwich structures
220,Three-dimensional exact solution for vibration analysis of thick functionally graded porous (FGP) rectangular plates with arbitrary boundary conditions
221,In-situ synthesis of aluminum/nano-quasicrystalline Al-Fe-Cr composite by using selective laser melting
222,Differently-charged graphene-based multilayer films by a layer-by-layer approach for oxygen gas barrier application
223,Nanofibrous membrane constructed magnetic materials for high-efficiency electromagnetic wave absorption
224,Large-scale preparation of segregated PLA/carbon nanotube composite with high efficient electromagnetic interference shielding and favourable mechanical properties
225,Effect of fire-retardant ceram powder on the properties of phenolic-based GFRP composites
226,Significant improvement of thermal oxidative mechanical properties in phthalonitrile GFRP composites by introducing microsilica as complementary reinforcement
227,RUC-based multi-scale model for braid-reinforced polymers: Application to coil springs
228,Acoustic emission of material damages in glass fibre-reinforced plastics
229,An investigation on mode II fracture toughness enhancement of epoxy adhesive using graphene nanoplatelets
230,Graphene Reinforced Epoxy Adhesive For Fracture Resistance
231,Fire performance of polymer-based composites for maritime infrastructure
232,Homogenization and localization of nanoporous composites - A critical review and new developments
233,Editorial Board
234,Preparation and properties of modified porous starch/carbon black/natural rubber composites
235,Bending strength of CFRP laminated adhesive joints fabricated by vacuum-assisted resin transfer molding
236,Dynamic impact response of aluminum honeycombs filled with Expanded Polypropylene foam
237,The geometrical advantages of helical carbon nanotubes for high-performance multifunctional polymeric nanocomposites
238,Adhesion properties of poly(ethylene oxide)-lignin blend for nanocellulose composites
239,Novel TiB2-reinforced 316L stainless steel nanocomposites with excellent room- and high-temperature yield strength developed by additive manufacturing
240,Simplification and development of McLachlan model for electrical conductivity of polymer carbon nanotubes nanocomposites assuming the networking of interphase regions
241,An exact three dimensional solution for bending of thick rectangular FGM plate
242,High selective production of 5-hydroxymethylfurfural from fructose by sulfonic acid functionalized SBA-15 catalyst
243,Synthesis of PAN/PVDF nanofiber composites-based carbon adsorbents for CO2 capture
244,Modeling of viscosity and complex modulus for poly (lactic acid)/poly (ethylene oxide)/carbon nanotubes nanocomposites assuming yield stress and network breaking time
245,Temperature dependent thermoelectric properties of cuprous delafossite oxides
246,Characterization of Al2O3/Ni composites manufactured via CSC technique in magnetic field
247,Accelerated thermal ageing behaviour of bagasse fibers reinforced Poly (Lactic Acid) based biocomposites
248,Buckling of functionally graded graphene reinforced conical shells under external pressure in thermal environment
249,Perforated shear + reinforcement bar connectors in a timber-concrete composite solution. Analytical and numerical approach
250,Mechanical properties and simulation of nanographene/polyvinylidene fluoride composite films
251,About an approach to the determination of the critical time of viscoelastic functionally graded cylindrical shells
252,Extreme enhancement of the nonlinear elastic response of elastomer nanoparticulate composites via interphases
253,Free vibration of nonlocal Timoshenko beams made of functionally graded materials by Symplectic method
254,Tensile behavior of basalt textile grid reinforced Engineering Cementitious Composite
255,Resistance of interfacial debonding failure of GFRP bars embedded in concrete reinforced with structural fibers under cycling loads
256,Production feasibility and performance of carbon fibre reinforced glulam beams manufactured with polyurethane adhesive
257,The effect of different linear robot travel speed on mass flowrate of pineapple leaf fibre (PALF) automated spray up composite
258,Flexural behavior of composite sandwich beams with different kinds of GFRP ribs in flatwise and edgewise positions
259,Experimental and numerical investigation on the mechanical characteristics of polyethylenimine functionalized graphene oxide incorporated woven carbon fibre/epoxy composites
260,Fabrication of polymer composite films with carbon composite nanofibers doped MWNTs-OH for multilevel memory device application
261,On the additive manufacturing of an energy storage device from recycled material
262,Development of novel building composites based on hemp and multi-functional silica matrix
263,Deformations and stresses of multilayered plates with embedded functionally graded material layers using a layerwise mixed model
264,Shear properties of polyurethane ductile adhesive at low temperatures under high strain rate conditions
265,A meshfree boundary-domain integral equation method for free vibration analysis of the functionally graded beams with open edged cracks
266,Monotonic and hysteretic in-plane behaviour of graphene through an atomistic FE model
267,Bi-directional functionally graded beams: asymmetric modes and nonlinear free vibration
268,A study on Mg and AlN composite in microstructural and electrochemical characterizations of extruded aluminum alloy
269,Numerically-aided 3D printed random isotropic porous materials approaching the Hashin-Shtrikman bounds
270,A mixed-form solution to the macroscopic elastic properties of 2D triaxially braided composites based on a concentric cylinder model and the rule of mixture
271,"Larch tannin-based rigid phenolic foam with high compressive strength, low friability, and low thermal conductivity reinforced by cork powder"
272,Reliability assessment for flexural FRP-Strengthened reinforced concrete beams based on Importance Sampling
273,Facile fabrication of silver decorated polyarylene ether nitrile composited micro/nanospheres via microemulsion self-assembling
274,A unified solution for the vibration analysis of functionally graded porous (FGP) shallow shells with general boundary conditions
275,Editorial Board
276,Self-healing epoxy nanocomposites via reversible hydrogen bonding
277,On the porosification of LTCC substrates with sodium hydroxide
278,Design and simulation of innovative foam-filled Lattice Composite Bumper System for bridge protection in ship collisions
279,Design properties of insulated precast concrete sandwich panels with composite shear connectors
280,Surface characteristics of wood polypropylene nanocomposites reinforced with multi-walled carbon nanotubes
281,Experimental and analytical flexural performances of reinforced concrete beams strengthened with post-tensioned near surface mounted basalt composite laminates
282,Fabrication of a piezoelectric strain sensor based on SbSI nanowires as a structural element of a FRP laminate
283,A design oriented multiaxial stress-based criterion for the strength assessment of adhesive layers
284,Effect of thickness and reinforcement configuration on flexural and impact behaviour of GFRP laminates after exposure to elevated temperatures
285,Experimental study on effects of structural characteristics of C/E composite laminates on grinding temperature
286,Experimentally informed micromechanical modelling of cement paste: An approach coupling X-ray computed tomography and statistical nanoindentation
287,A facile process to manufacture high performance copper layer on ceramic material via biomimetic modification and electroless plating
288,Gas-atomized copper-based particles encapsulated in graphene oxide for high wear-resistant composites
289,Effect of food chemicals and temperature on mechanical reliability of bio-based glass fibers reinforced polyamide
290,A critical assessment of multifunctional polymers with regard to their potential use in structural applications
291,"Dispersion control of raw and modified silica particles in PMMA. Impact on mechanical properties, from experiments to modelling"
292,Effect of concrete creep on dynamic stability behavior of slender concrete-filled steel tubular column
293,Free vibration analysis of laminated and FGM composite annular sector plates
294,Effects of sample orientation on the fire reaction properties of natural fibre composites
295,A multi-physics framework model towards coupled fire-structure interaction for Flax/PP composite beams
296,Vibration behavior of the functionally graded porous (FGP) doubly-curved panels and shells of revolution by using a semi-analytical method
297,"Fabrication, morphology and thermal properties of octadecylamine-grafted graphene oxide-modified phase-change microcapsules for thermal energy storage"
298,Durability performance and long-term prediction models of sand-coated basalt FRP bars
299,"Damage sensing, mechanical and interfacial properties of resins suitable for new CFRP rope for elevator applications"
300,Wrinkling modelling of space membranes subject to solar radiation pressure
301,Surface functionalization of boron nitride platelets via a catalytic oxidation/silanization process and thermomechanical properties of boron nitride-epoxy composites
302,Simplification of finite element modeling for plates structures with constrained layer damping by using single-layer equivalent material properties
303,Improved high-temperature mechanical property of carbon-phenolic composites by introducing titanium diboride particles
304,Multi-scale response sensitivity analysis based on direct differentiation method for concrete structures
305,Novel method for improving fatigue behavior of carbon fiber reinforced epoxy composite
306,In situ laser-induced synthesis of gas sensing microcomposites based on molybdenum and its oxides
307,Nonlocal free and forced vibration of a graded Timoshenko nanobeam resting on a nonlinear elastic foundation
308,Editorial Board
309,A viscoelastic model of compression and relaxation behaviors in preforming process for carbon fiber fabrics with binder
310,Barely visible impact damages of GFRP laminate profiles – An experimental study
311,Peridynamic analysis of fibre-matrix debond and matrix failure mechanisms in composites under transverse tensile load by an energy-based damage criterion
312,Temperature dependent fracture toughness of the particulate-reinforced ultra-high-temperature-ceramics considering effects of change in critical flaw size and plastic power
313,Evaluating damage of reinforced concrete structures subjected to bending using the parameters of electric response to mechanical impact
314,Puncture properties of a hybrid continuous-discontinuous sheet moulding compound for structural applications
315,Free vibration analysis of laminated composite elliptic cylinders with general boundary conditions
316,A new strengthening technique for increasing the load carrying capacity of rectangular reinforced concrete columns subjected to axial compressive loading
317,Axial and lateral buckling analysis of fiber reinforced S-glass/epoxy composites containing nano-clay particles
318,Wear and friction behavior of self-lubricating hybrid Cu-(SiC + x CNT) composites
319,Adhesive joints using aluminium and CFRP substrates tested at low and high temperatures under quasi-static and impact conditions for the automotive industry
320,Experimental study and finite element simulation of novel nap-core sandwich composite
321,Numerical study on the mechanical behavior of a polyurethane adhesive under high strain rate
322,PBO/graphene added β-PVDF piezoelectric composite nanofiber production
323,Shear strengthening of reinforced concrete beams with PBO-FRCM composites with anchorage
324,Expression of normal stress difference and relaxation modulus for ternary nanocomposites containing biodegradable polymers and carbon nanotubes by storage and loss modulus data
325,Viscoelastic analysis of silica nanoparticle-polymer nanocomposites
326,Damage-induced acoustic emission source monitoring in a honeycomb sandwich composite structure
327,Evaluation and validation of equivalent properties of macro fibre composites for piezoelectric transducer modelling
328,Transient response of oscillated carbon nanotubes with an internal and external damping
329,Scalable development of a multi-phase thermal management system with superior EMI shielding properties
330,Investigation of the interphase between recycled aggregates and cementitious binding materials using integrated microstructural-nanomechanical-chemical characterization
331,Numerical investigation of Rayleigh waves in layered composite piezoelectric structures using the SIGA-PML approach
332,Developing and characterization of lignin-based fibrous nanocarbon electrodes for energy storage devices
333,Identification of mechanical parameters of urea-formaldehyde microcapsules using finite-element method
334,Interfacially reinforced carbon fiber/epoxy composite laminates via in-situ synthesized graphitic carbon nitride (g-C3N4)
335,"Tension-stiffening effect in steel-reinforced UHPC composites: Constitutive model and effects of steel fibers, loading patterns, and rebar sizes"
336,The shot peen forming of fiber metal laminates based on the aluminum-lithium alloy: Deformation characteristics
337,A higher-order free vibration analysis of carbon nanotube-reinforced magneto-electro-elastic plates using finite element methods
338,A study on the crystallization kinetics of PLLA in the presence of Graphene Oxide and PEG-grafted-Graphene Oxide: Effects on the nucleation and chain mobility
339,Highly anisotropic thermally conductive polyimide composites via the alignment of boron nitride platelets
340,Topological optimization of thermoelastic composites with maximized stiffness and heat transfer
341,Strain hardening polypropylene fiber reinforced composite from hydrated ladle slag and gypsum
342,The impact damage and residual load capacity of composite stepped bonding repairs and joints
343,Three-dimensional free vibration analysis of triclinic piezoelectric hollow cylinder
344,A novel design method for the fast and cost-effective manufacture of composite parts employing the Quilted Stratum Process
345,Exploration of the high order theory for functionally graded beams based on Legendre's polynomial expansion
346,Super paramagnetic ZIF-67 metal organic framework nanocomposite
347,A new approach in testing fatigue fracture mechanics properties in asymmetrical bonded composite/metal assemblies
